rowNumber,queueId,questionNumber,questionType,questionText,subject,courseLevel,module,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,payload,explanation,generationMetadata
179,python-fitb-level-1-sets-and-dictionar-r77-q2,Q2,fitb,"Given `left = {1, 2, 3}` and `right = {3, 4}`, complete `exclusive = left.{{1}}(right)` to produce `{1, 2, 4}`, the elements belonging to exactly one of the two sets.",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Set operations,"Apply union, intersection, difference and symmetric_difference on two sets.",Applying,medium,3,One medium Applying-level fill-in-the-blank question on Python set symmetric difference.,[],"{""blanks"":[{""position"":1,""answer"":""symmetric_difference"",""acceptedAnswers"":[],""caseSensitive"":true}]}","The `symmetric_difference` method returns elements that appear in one set but not both. Therefore, the shared element `3` is excluded, while `1`, `2`, and `4` remain.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":77,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
180,python-dnd-level-1-sets-and-dictionar-r77-q3,Q3,dnd,"Given A = {1, 2, 3} and B = {3, 4, 5}, match each set operator to the resulting set or operation description.",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Set operations,"Apply union, intersection, difference and symmetric_difference on two sets.",Applying,medium,3,A medium- difficulty application task tracing four set operations on two given sets.,[],"{""items"":[{""id"":""i1"",""label"":""|""},{""id"":""i2"",""label"":""&""},{""id"":""i3"",""label"":""-""},{""id"":""i4"",""label"":""^""}],""targets"":[{""id"":""t1"",""label"":""All elements appearing in A or B: {1, 2, 3, 4, 5}"",""correctItemId"":""i1""},{""id"":""t2"",""label"":""Only elements common to A and B: {3}"",""correctItemId"":""i2""},{""id"":""t3"",""label"":""Elements in A but not in B: {1, 2}"",""correctItemId"":""i3""},{""id"":""t4"",""label"":""Elements in exactly one of A and B: {1, 2, 4, 5}"",""correctItemId"":""i4""}]}","The union operator | includes every element from either set, so A | B gives {1, 2, 3, 4, 5}. The intersection operator & keeps only elements present in both sets, giving {3}. The difference operator - keeps elements in the left set that are not in the right set, so A - B gives {1, 2}. The symmetric difference operator ^ keeps elements found in exactly one set, giving {1, 2, 4, 5}.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""dnd"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":77,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
181,python-fitb-level-1-sets-and-dictionar-r78-q2,Q2,fitb,"Complete the code so that `unique_values` contains each value from `values` only once, without preserving the list's order: `values = [4, 2, 4, 1, 2]`; `unique_values = {{1}}(values)`; `print(len(unique_values))`",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Set operations,Use a set to deduplicate a list while losing order.,Applying,medium,3,One medium Applying-level FITB question on using a set to deduplicate a list.,[],"{""blanks"":[{""position"":1,""answer"":""set"",""acceptedAnswers"":[],""caseSensitive"":true}]}","The `set()` constructor removes duplicate values from an iterable, so `unique_values` contains `{1, 2, 4}` and its length is 3. Sets do not preserve the original list order.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":78,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Use"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
182,python-mcq-level-1-sets-and-dictionar-r79-q1,Q1,mcq,"A program stores repeated student ID values, does not need to preserve their order, and must remove duplicates while checking whether an ID is present. Which Python data structure is the best choice?",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Set operations,"Differentiate when to use a set vs a list (membership tests, deduplication).",Understanding,easy,2,One easy Understanding-level MCQ on choosing a set instead of a list for membership testing and deduplication.,"[{""text"":""A list, because it automatically removes repeated values"",""correct"":false},{""text"":""A set, because it stores unique values and supports membership testing"",""correct"":true},{""text"":""A tuple, because it changes repeated values into unique values"",""correct"":false},{""text"":""A string, because it is the standard collection for student IDs"",""correct"":false}]",,A set is designed to store unique elements and supports membership tests with the `in` operator. A list can check membership but preserves duplicates unless they are removed separately.,"{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":79,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Understanding"",""bloomsVerb"":""Differentiate"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
183,python-mcq-level-1-sets-and-dictionar-r80-q1,Q1,mcq,Which description best defines a Python dictionary?,Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Dictionary basics,Define a dictionary as an unordered collection of key-value pairs.,Remembering,easy,1,One easy multiple-choice question assessing the definition of a Python dictionary.,"[{""text"":""An unordered collection of key-value pairs"",""correct"":true},{""text"":""An ordered sequence of values accessed only by numeric index"",""correct"":false},{""text"":""A collection that stores only unique values without associated keys"",""correct"":false},{""text"":""A fixed-size group of characters arranged in positions"",""correct"":false}]",,"A dictionary is a collection of key-value pairs, where each key is used to associate and retrieve a value. At an introductory level, dictionaries are described as unordered collections rather than position-based sequences.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":80,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""Define"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
184,python-fitb-level-1-sets-and-dictionar-r79-q2,Q2,fitb,"Given `values = [2, 2, 3, 2]`, use `unique_values = {{1}}(values)` to remove duplicates and support membership testing without preserving repeated elements.",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Set operations,"Differentiate when to use a set vs a list (membership tests, deduplication).",Understanding,easy,2,One easy fill-in-the-blank question on choosing a set for deduplication and membership tests.,[],"{""blanks"":[{""position"":1,""answer"":""set"",""acceptedAnswers"":[],""caseSensitive"":true}]}","The `set` function converts the list into a set, which stores each value only once and is well suited to membership tests. A list would preserve duplicates and is therefore less appropriate when uniqueness is required.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":79,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Understanding"",""bloomsVerb"":""Differentiate"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
185,python-fitb-level-1-sets-and-dictionar-r80-q2,Q2,fitb,"In Python, a dictionary is an {{1}} collection of key-value pairs.",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Dictionary basics,Define a dictionary as an unordered collection of key-value pairs.,Remembering,easy,1,One easy remembering-level fill-in-the-blank question about the definition of a Python dictionary.,[],"{""blanks"":[{""position"":1,""answer"":""unordered"",""acceptedAnswers"":[],""caseSensitive"":false}]}","A dictionary stores data as key-value pairs, and the collection is traditionally described as unordered.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":80,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""Define"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
186,python-dnd-level-1-sets-and-dictionar-r78-q3,Q3,dnd,"Given the source list [4, 2, 4, 1], match each Python expression to the result or behavior it produces. Remember that converting to a set removes duplicates but does not preserve the list's order.",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Set operations,Use a set to deduplicate a list while losing order.,Applying,medium,3,Match set-based expressions with their deduplication results and ordering behavior.,[],"{""items"":[{""id"":""i1"",""label"":""set([4, 2, 4, 1])""},{""id"":""i2"",""label"":""list(set([4, 2, 4, 1]))""},{""id"":""i3"",""label"":""len(set([4, 2, 4, 1]))""},{""id"":""i4"",""label"":""sorted(set([4, 2, 4, 1]))""}],""targets"":[{""id"":""t1"",""label"":""A set containing 1, 2, and 4; its iteration order is not guaranteed"",""correctItemId"":""i1""},{""id"":""t2"",""label"":""A list containing 1, 2, and 4 once each; the original order is not guaranteed"",""correctItemId"":""i2""},{""id"":""t3"",""label"":""The integer 3, because the set has three distinct values"",""correctItemId"":""i3""},{""id"":""t4"",""label"":""The list [1, 2, 4], because sorting establishes ascending order after deduplication"",""correctItemId"":""i4""}]}","set([4, 2, 4, 1]) creates a set containing the distinct values 1, 2, and 4, with no guaranteed iteration order. Wrapping that set in list() produces a list containing each value once, but the original list order is not guaranteed. len(set(...)) is 3 because there are three distinct values. sorted(set(...)) first removes duplicates and then explicitly orders the remaining values, producing [1, 2, 4]. A common misconception is that a set preserves the order in which values appeared; it does not guarantee that behavior.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""dnd"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":78,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Use"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
187,python-mcq-level-1-sets-and-dictionar-r81-q1,Q1,mcq,Which option correctly shows both a dictionary literal and the dict() constructor in Python?,Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Dictionary basics,Identify the syntax {key: value} and the dict() constructor.,Remembering,easy,1,One easy remembering-level question on dictionary literal syntax and the dict() constructor.,"[{""text"":""{\""name\"": \""Ari\""} and dict(name=\""Ari\"")"",""correct"":true},{""text"":""[\""name\"": \""Ari\""] and list(name=\""Ari\"")"",""correct"":false},{""text"":""(\""name\"": \""Ari\"") and tuple(name=\""Ari\"")"",""correct"":false},{""text"":""{\""name\"", \""Ari\""} and set(name=\""Ari\"")"",""correct"":false}]",,"The expression {""name"": ""Ari""} creates a dictionary with a key and value using dictionary-literal syntax. The expression dict(name=""Ari"") creates an equivalent dictionary using the dict() constructor. Square brackets create lists, parentheses create tuples, and braces containing comma-separated values without colons create sets.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":81,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""Identify"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
188,python-mcq-level-1-sets-and-dictionar-r82-q1,Q1,mcq,"Given the following code, what is printed?

```python
profile = {""name"": ""Mina"", ""age"": 21}
name = profile[""name""]
city = profile.get(""city"", ""Unknown"")
print(name, city)
```",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Dictionary basics,Apply [] and .get() to retrieve a value safely from a dictionary.,Applying,medium,3,One medium Applying-level MCQ on retrieving existing and missing dictionary values with [] and .get().,"[{""text"":""Mina Unknown"",""correct"":true},{""text"":""Mina None"",""correct"":false},{""text"":""A KeyError is raised before anything is printed."",""correct"":false},{""text"":""Unknown Mina"",""correct"":false}]",,"The [] operator retrieves the value for the existing ""name"" key, producing ""Mina"". The .get() method safely checks for ""city"" and returns its supplied default, ""Unknown"", because that key is absent. Therefore, the output is `Mina Unknown`.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":82,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
189,python-fitb-level-1-sets-and-dictionar-r82-q2,Q2,fitb,"Given `config = {""timeout"": 30}`, complete `retries = config.{{1}}(""retries"", 3)` so that `print(retries)` outputs `3` without raising a `KeyError`.",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Dictionary basics,Apply [] and .get() to retrieve a value safely from a dictionary.,Applying,medium,3,One medium Applying-level FITB question on safely retrieving a missing dictionary key with .get().,[],"{""blanks"":[{""position"":1,""answer"":""get"",""acceptedAnswers"":[],""caseSensitive"":true}]}","The `get()` method safely returns the provided default value, `3`, when the key is absent. Using `config[""retries""]` would raise a `KeyError` instead.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":82,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
190,python-dnd-level-1-sets-and-dictionar-r82-q3,Q3,dnd,"Given `record = {""score"": 87}`, match each dictionary expression to the result or behavior it produces when evaluated exactly once.",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Dictionary basics,Apply [] and .get() to retrieve a value safely from a dictionary.,Applying,medium,3,One medium Applying-level drag-and-drop question on using [] and .get() for dictionary retrieval.,[],"{""items"":[{""id"":""i1"",""label"":""record[\""score\""]""},{""id"":""i2"",""label"":""record.get(\""score\"")""},{""id"":""i3"",""label"":""record[\""grade\""]""},{""id"":""i4"",""label"":""record.get(\""grade\"")""}],""targets"":[{""id"":""t1"",""label"":""Produces the integer value 87 from an existing key using bracket lookup"",""correctItemId"":""i1""},{""id"":""t2"",""label"":""Produces the integer value 87 from an existing key using the get method"",""correctItemId"":""i2""},{""id"":""t3"",""label"":""Raises a KeyError because the requested key is absent"",""correctItemId"":""i3""},{""id"":""t4"",""label"":""Returns None because the requested key is absent"",""correctItemId"":""i4""}]}","`record[""score""]` and `record.get(""score"")` both retrieve the existing value, so each produces `87`. Bracket lookup with the missing key `record[""grade""]` raises a `KeyError`. In contrast, `record.get(""grade"")` safely returns `None` when the key is absent, which is the key distinction between `[]` and `.get()` for safe retrieval.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""dnd"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":82,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
191,python-fitb-level-1-sets-and-dictionar-r83-q2,Q2,fitb,"Trace this code and fill in the exact dictionary printed:
```python
prices = {""pen"": 2, ""book"": 5}
prices.update({""book"": 6, ""bag"": 8})
prices.pop(""pen"")
del prices[""bag""]
print(prices)
```
Output: {{1}}",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Dictionary basics,"Use update(), pop() and del to mutate a dictionary.",Applying,medium,3,"One medium Applying-level fitb question on mutating dictionaries with update(), pop(), and del.",[],"{""blanks"":[{""position"":1,""answer"":""{'book': 6}"",""acceptedAnswers"":[],""caseSensitive"":true}]}","update() changes the existing ""book"" value to 6 and adds ""bag"". pop() removes ""pen"", and del removes ""bag"", leaving only {'book': 6}.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":83,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Use"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
192,python-mcq-level-1-sets-and-dictionar-r83-q1,Q1,mcq,"What are the values of `inventory` and `removed` after this code runs?

```python
inventory = {""pens"": 4, ""notebooks"": 2}
inventory.update({""pens"": 6, ""folders"": 3})
removed = inventory.pop(""notebooks"")
del inventory[""folders""]
```",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Dictionary basics,"Use update(), pop() and del to mutate a dictionary.",Applying,medium,3,"One medium Applying-level MCQ on mutating a dictionary with update(), pop(), and del.","[{""text"":""`inventory` is `{\""pens\"": 6}` and `removed` is `2`"",""correct"":true},{""text"":""`inventory` is `{\""pens\"": 4, \""notebooks\"": 2}` and `removed` is `3`"",""correct"":false},{""text"":""`inventory` is `{\""pens\"": 6, \""folders\"": 3}` and `removed` is `\""notebooks\""`"",""correct"":false},{""text"":""`inventory` is `{\""pens\"": 4, \""notebooks\"": 2, \""folders\"": 3}` and `removed` is `None`"",""correct"":false}]",,"`update()` changes the existing `pens` value to 6 and adds `folders` with a value of 3. `pop(""notebooks"")` removes that key and returns its value, 2. Finally, `del inventory[""folders""]` removes the `folders` key, leaving `{""pens"": 6}`. A common misconception is that `pop()` only removes a key without returning its value.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":83,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Use"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
193,python-mcq-level-1-sets-and-dictionar-r84-q1,Q1,mcq,"What is printed when this Python code runs?

scores = {""Ava"": 3, ""Ben"": 5}

for name, score in scores.items():
    if score >= 4:
        print(name)",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Iterating over dictionaries,"Apply .keys(), .values() and .items() to iterate.",Applying,medium,3,One medium-difficulty Applying-level MCQ on using .items() to iterate over dictionary keys and values.,"[{""text"":""Ava"",""correct"":false},{""text"":""Ben"",""correct"":true},{""text"":""3\n5"",""correct"":false},{""text"":""A TypeError occurs because .items() returns only the keys"",""correct"":false}]",,"The .items() method produces each dictionary key-value pair, allowing the loop to assign the key to name and the value to score. Only Ben has a score greater than or equal to 4, so the output is Ben.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":84,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
194,python-dnd-level-1-sets-and-dictionar-r83-q3,Q3,dnd,"Match each dictionary operation to its effect. Assume d is a dictionary, the key used with pop() or del exists, and update() receives another dictionary of key-value pairs.",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Dictionary basics,"Use update(), pop() and del to mutate a dictionary.",Applying,medium,3,"One medium Applying-level drag-and-drop question on using update(), pop(), and del to mutate dictionaries.",[],"{""items"":[{""id"":""i1"",""label"":""update()""},{""id"":""i2"",""label"":""pop()""},{""id"":""i3"",""label"":""del""}],""targets"":[{""id"":""t1"",""label"":""Adds pairs from another dictionary and replaces values for keys that already exist"",""correctItemId"":""i1""},{""id"":""t2"",""label"":""Removes a specified key and returns its former value"",""correctItemId"":""i2""},{""id"":""t3"",""label"":""Removes a specified key-value pair without producing the removed value"",""correctItemId"":""i3""}]}","update() adds new key-value pairs and replaces the values of matching existing keys. pop() removes a specified key and returns the value that was stored there. del removes a specified key-value pair but does not return the removed value. A common misconception is that pop() and del behave identically; pop() is an expression that produces the removed value, while del is a statement used only to delete.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""dnd"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":83,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Use"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
195,python-fitb-level-1-sets-and-dictionar-r84-q2,Q2,fitb,"Complete the method call so that each loop iteration assigns a dictionary key to `item` and its corresponding value to `price`:
```python
prices = {""pen"": 2, ""book"": 5}

for item, price in prices.{{1}}():
    print(item, price)
```",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Iterating over dictionaries,"Apply .keys(), .values() and .items() to iterate.",Applying,medium,3,One medium Applying-level FITB question on using .items() to iterate through dictionary key-value pairs.,[],"{""blanks"":[{""position"":1,""answer"":""items"",""acceptedAnswers"":[],""caseSensitive"":true}]}","The `.items()` method returns an iterable of key-value pairs, allowing the two loop variables `item` and `price` to receive the key and value from each dictionary entry. In contrast, iterating over `.keys()` would provide only keys, and `.values()` would provide only values.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":84,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
196,python-dnd-level-1-sets-and-dictionar-r84-q3,Q3,dnd,"Given `prices = {""pen"": 2, ""book"": 5}`, match each dictionary method to what a loop receives when iterating over it.",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Iterating over dictionaries,"Apply .keys(), .values() and .items() to iterate.",Applying,medium,3,One medium Applying-level drag-and-drop question on using dictionary iteration methods.,[],"{""items"":[{""id"":""i1"",""label"":"".keys()""},{""id"":""i2"",""label"":"".values()""},{""id"":""i3"",""label"":"".items()""}],""targets"":[{""id"":""t1"",""label"":""A loop receives each dictionary key"",""correctItemId"":""i1""},{""id"":""t2"",""label"":""A loop receives each dictionary value"",""correctItemId"":""i2""},{""id"":""t3"",""label"":""A loop unpacks each key and value pair"",""correctItemId"":""i3""}]}","`.keys()` provides the dictionary's keys, so a loop receives `""pen""` and `""book""`. `.values()` provides the values, so the loop receives `2` and `5`. `.items()` provides two-element `(key, value)` pairs, which can be unpacked into two loop variables such as `item` and `price`. A common misconception is that iterating over a dictionary automatically produces values; plain dictionary iteration produces keys unless `.values()` or `.items()` is used.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""dnd"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":84,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
197,python-mcq-level-1-sets-and-dictionar-r85-q1,Q1,mcq,"What does this Python 3.7+ code print?

```python
items = {}
items[""blue""] = 1
items[""green""] = 2
items[""blue""] = 3
items[""red""] = 4

print(list(items))
```",Python,Level 1,Sets and Dictionaries,Sets and Dictionaries,Iterating over dictionaries,"Predict whether iterating in dict order is guaranteed (yes, since Python 3.7).",Analyzing,medium,3,Two medium-level analyzing questions on Python 3.7+ dictionary iteration order and insertion-order behavior.,"[{""text"":""['blue', 'green', 'red']"",""correct"":true},{""text"":""['blue', 'red', 'green']"",""correct"":false},{""text"":""['green', 'blue', 'red']"",""correct"":false},{""text"":""['blue', 'green', 'blue', 'red']"",""correct"":false}]",,"Dictionary iteration follows insertion order in Python 3.7 and later. Updating the existing key ""blue"" changes its value but does not move it, so the keys appear as ""blue"", ""green"", and ""red"".","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":85,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":4,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Sets and Dictionaries"",""topicType"":""Concept"",""topicFamily"":""Sets and Dictionaries"",""bloomsLevel"":""Analyzing"",""bloomsVerb"":""Predict"",""cognitiveTier"":""Higher-Order"",""skillArea"":""mixed""}"
